amfi_code,date,nav,scheme_name,fund_house,scheme_type,scheme_category,isin_growth,isin_div_reinvestment,source_file,previous_nav,nav_change,nav_return_pct
125497,2013-11-18,13.0894,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,,,
125497,2013-11-19,13.1068,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0894,0.017400000000000304,0.13293199077116066
125497,2013-11-20,12.9549,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.1068,-0.15189999999999948,-1.1589403973509893
125497,2013-11-21,12.7957,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.9549,-0.15920000000000023,-1.2288786482334886
125497,2013-11-22,12.7775,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.7957,-0.018200000000000216,-0.142235282165104
125497,2013-11-25,12.8548,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.7775,0.07729999999999926,0.6049696732537605
125497,2013-11-26,12.8591,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.8548,0.004300000000000637,0.03345053987616017
125497,2013-11-27,12.8389,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.8591,-0.020199999999999108,-0.15708719894859755
125497,2013-11-28,12.8773,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.8389,0.038399999999999324,0.2990910436252274
125497,2013-11-29,12.9509,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.8773,0.07360000000000078,0.5715483835897337
125497,2013-12-02,13.0012,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.9509,0.05030000000000001,0.3883899960620498
125497,2013-12-03,13.0048,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0012,0.0035999999999987153,0.027689751715216405
125497,2013-12-04,12.9799,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0048,-0.024899999999998812,-0.19146776574802238
125497,2013-12-05,13.0319,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.9799,0.0519999999999996,0.40061941925592337
125497,2013-12-06,13.0439,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0319,0.012000000000000455,0.09208173788933659
125497,2013-12-09,13.0282,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0439,-0.015700000000000713,-0.12036277493694916
125497,2013-12-10,13.0325,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0282,0.004300000000000637,0.033005326906254406
125497,2013-12-11,13.0129,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0325,-0.019600000000000506,-0.15039324765010936
125497,2013-12-12,13.0021,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0129,-0.010799999999999699,-0.08299456692973664
125497,2013-12-13,12.9891,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0021,-0.0129999999999999,-0.09998384876289139
125497,2013-12-16,13.0345,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.9891,0.045399999999999,0.34952383152026695
125497,2013-12-17,12.9569,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0345,-0.07760000000000034,-0.595343127853008
125497,2013-12-18,13.0672,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,12.9569,0.11030000000000051,0.8512838719138105
125497,2013-12-19,13.1392,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.0672,0.07200000000000095,0.5509979184523154
125497,2013-12-20,13.1776,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.1392,0.038399999999999324,0.2922552362396441
125497,2013-12-23,13.1886,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.1776,0.010999999999999233,0.08347498785817777
125497,2013-12-24,13.2683,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.1886,0.07970000000000077,0.6043097826911179
125497,2013-12-26,13.4811,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.2683,0.21279999999999966,1.603822644950745
125497,2013-12-27,13.5024,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.4811,0.021300000000000097,0.157998976344661
125497,2013-12-30,13.5862,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.5024,0.0838000000000001,0.6206304064462621
125497,2013-12-31,13.7277,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.5862,0.14150000000000063,1.0414979906081216
125497,2014-01-01,13.7418,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.7277,0.014099999999999113,0.10271203479096364
125497,2014-01-02,13.7553,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.7418,0.013500000000000512,0.09824040518709712
125497,2014-01-03,13.8494,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.7553,0.09409999999999918,0.6840999469295412
125497,2014-01-06,13.8568,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.8494,0.007400000000000517,0.053431917628204234
125497,2014-01-07,13.9214,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.8568,0.06460000000000043,0.46619710178396484
125497,2014-01-08,14.0081,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.9214,0.08670000000000044,0.6227821914462657
125497,2014-01-09,13.8644,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,14.0081,-0.14370000000000083,-1.0258350525767295
125497,2014-01-10,13.8143,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.8644,-0.05010000000000048,-0.3613571449179227
125497,2014-01-13,13.7909,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.8143,-0.023399999999998755,-0.1693896903932791
125497,2014-01-14,13.8249,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.7909,0.03399999999999892,0.24653938466669265
125497,2014-01-15,14.0209,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.8249,0.19599999999999973,1.4177317738283801
125497,2014-01-16,14.0042,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,14.0209,-0.016699999999998383,-0.11910790320163744
125497,2014-01-17,13.7841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,14.0042,-0.2201000000000004,-1.571671355736139
125497,2014-01-20,13.8144,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.7841,0.03029999999999866,0.21981848651706432
125497,2014-01-21,13.8659,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.8144,0.05150000000000077,0.3727993977299106
125497,2014-01-22,13.9302,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.8659,0.06429999999999936,0.46372756186038666
125497,2014-01-23,13.9537,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.9302,0.0235000000000003,0.16869822400252904
125497,2014-01-24,13.8688,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,INF200K01T51,,nav_125497_20260625.csv,13.9537,-0.08489999999999931,-0.60844077198162
